condition,cum_lr_post_intro_eval_integral,cum_lr_to_hop2_95_eval_integral,cum_update_ratio_post_intro_eval_integral,cum_update_ratio_to_hop2_95_eval_integral,final_floor_hop2_acc,final_hop1_acc,final_hop2_acc,final_hop2_loss,intro_step,loss_drop_start_to_min,loss_drop_start_to_tail,lr_intro_formula,lr_tail_mean,max_excess_slope_per_1k_steps,max_slope_end_step,max_steps,norm_t10_peak_excess,norm_t50_peak_excess,norm_t90_peak_excess,norm_width_t90_minus_t10,peak_hop2_excess,post_intro_loss_min,post_intro_loss_start,rewarm_step,run_dir,schedule,seed,t_hop2_acc_ge_0.50,t_hop2_acc_ge_0.80,t_hop2_acc_ge_0.95,t_hop2_acc_ge_0.99,t_hop2_excess_ge_0.03,t_hop2_excess_ge_0.10,t_hop2_excess_ge_0.50,t_hop2_excess_ge_0.80,t_schedule,tail_floor_hop2_acc,tail_hop2_acc,tail_hop2_excess,tail_hop2_loss
fresh_singlehop_late_seed3,2.375684722264067,,,,0.14453125,1.0,0.0,20.47459077835083,16000,2.492566302418709,-14.4858506542665,0.0004628064124873411,9.150904276806911e-06,0.56640625,19150,29500,,,,,0.000244140625,3.47819159924984,5.970757901668549,,runs/behavioral_replication_v0_9/s3/fresh_hop1_s1/fresh_singlehop_late_seed3,warmup_cosine,3,,,,,,,,,30000,0.13733362268518517,0.0,-0.13733362268518517,20.45660855593505
late_gate_post_seed3,19.999000000000148,12.35000000000004,,,0.1376953125,1.0,0.998779296875,0.015464635258467752,16000,28.521563830051264,28.514314123459023,0.001,0.0010000000000000007,7.4072265625,28250,36000,28200,28250,28300,100,0.883544921875,0.00025957616821870033,28.521823406219482,16000,runs/behavioral_replication_v0_9/s3/rewarm_late/late_gate_post_seed3,warmup_cosine_then_rewarm_constant,3,28250,28300,28350,28550,17600,28200,28250,28350,30000,0.13638916015625,0.998980712890625,0.862591552734375,0.007509282760457836
late_gate_post_seed3,19.999000000000148,7.89999999999998,,,0.12939453125,1.0,0.998291015625,0.013779507122308132,16000,27.025709291383464,27.015820113526992,0.001,0.0010000000000000007,9.9462890625,23850,36000,23600,23850,23900,300,0.8857421875,0.0001424351485184161,27.025851726531982,16000,runs/behavioral_replication_v0_9/s3/rewarm_reset_late/late_gate_post_seed3,warmup_cosine_then_rewarm_constant_reset_optim,3,23850,23850,23900,24000,16900,23800,23850,23900,30000,0.1365478515625,0.998974609375,0.8624267578125,0.010031613004991868
late_gate_post_seed3,2.375684722264067,,,,0.14990234375,1.0,0.169677734375,2.4107214361429214,16000,26.68571987748146,26.659062302222956,0.0004628064124873411,9.150904276806911e-06,0.8935546875,24650,29500,,,,,0.0498046875,2.3791416585445404,29.064861536026,,runs/behavioral_replication_v0_9/s3/s1_late_original/late_gate_post_seed3,warmup_cosine,3,,,,,17150,,,,30000,0.14172815393518517,0.1669650607638889,0.025236906828703703,2.4057992338030427
late_gate_post_seed3,4.539327995532026,,,,0.15966796875,0.99951171875,0.17529296875,2.1097301989793777,16000,24.40258499979973,24.378120875544845,0.0006009064556902949,7.497028416212647e-06,0.712890625,16350,36000,,,,,0.053466796875,2.098922520875931,26.50150752067566,,runs/behavioral_replication_v0_9/s3/s1_longcos_late/late_gate_post_seed3,warmup_cosine,3,,,,,16850,,,,36000,0.1437255859375,0.17109375,0.0273681640625,2.123386645130813
late_gate_post_seed3,2.408303548944861,,,,0.13916015625,0.99853515625,0.159912109375,2.404655769467354,16000,26.700731575489044,26.665272261574863,0.0004628064124873411,5.000000000000005e-06,0.8935546875,24650,36000,,,,,0.05224609375,2.364129960536957,29.064861536026,,runs/behavioral_replication_v0_9/s3/s1_plateau_late/late_gate_post_seed3,warmup_cosine,3,,,,,17150,,,,30000,0.1436767578125,0.168267822265625,0.024591064453125,2.3995892744511367
late_gate_post_seed3,19.999000000000148,7.049999999999983,,,0.138671875,1.0,0.99951171875,0.006608424109799671,16000,23.934627202671663,23.923214377548753,0.001,0.0010000000000000007,6.8798828125,22950,36000,22450,22950,23050,600,0.888916015625,0.00016054757247729867,23.93478775024414,,runs/behavioral_replication_v0_9/s3/s2_constant_late/late_gate_post_seed3,warmup_constant,3,22950,23000,23050,23250,17700,22750,22950,23050,30000,0.13511962890625,0.9987060546875,0.86358642578125,0.011573372695386297
fresh_singlehop_late_seed4,2.375684722264067,,,,0.1513671875,1.0,0.0,20.42375385761261,16000,5.077794671058655,-11.884606526957619,0.0004628064124873411,9.150904276806911e-06,0.52734375,25800,29500,,,,,0.015380859375,3.4684824347496033,8.546277105808258,,runs/behavioral_replication_v0_9/s4/fresh_hop1_s1/fresh_singlehop_late_seed4,warmup_cosine,4,,,,,,,,,30000,0.13997395833333334,0.0,-0.13997395833333334,20.430883632765877
late_gate_post_seed4,19.999000000000148,13.100000000000051,,,0.13916015625,1.0,0.999267578125,0.005825966070005961,16000,29.36943966564081,29.359215852340476,0.001,0.0010000000000000007,10.6201171875,29100,36000,29050,29100,29100,50,0.885986328125,7.360759832408803e-05,29.369513273239136,16000,runs/behavioral_replication_v0_9/s4/rewarm_late/late_gate_post_seed4,warmup_cosine_then_rewarm_constant,4,29100,29100,29100,29150,17150,29050,29100,29100,30000,0.13358154296875,0.998846435546875,0.865264892578125,0.010297420898658061
late_gate_post_seed4,19.999000000000148,10.100000000000009,,,0.14404296875,0.999267578125,0.998046875,0.026627065827597107,16000,28.14658968550748,28.139017659690555,0.001,0.0010000000000000007,7.1240234375,26000,36000,25250,26000,26050,800,0.88818359375,0.00011081593447670457,28.146700501441956,16000,runs/behavioral_replication_v0_9/s4/rewarm_reset_late/late_gate_post_seed4,warmup_cosine_then_rewarm_constant_reset_optim,4,26000,26050,26100,26150,16550,25400,26000,26100,30000,0.13450927734375,0.9989990234375,0.86448974609375,0.007682841751400815
late_gate_post_seed4,2.375684722264067,,,,0.13134765625,0.999755859375,0.171630859375,2.338457629084587,16000,27.557661458849907,27.532386753294205,0.0004628064124873411,9.150904276806911e-06,0.9228515625,16250,29500,,,,,0.05078125,2.3151486665010452,29.872810125350952,,runs/behavioral_replication_v0_9/s4/s1_late_original/late_gate_post_seed4,warmup_cosine,4,,,,,17400,,,,30000,0.14048032407407407,0.16269712094907407,0.022216796875,2.3404233720567493
late_gate_post_seed4,4.539327995532026,4.222652380820278,,,0.14453125,1.0,0.999267578125,0.00214156346009986,16000,27.50395573375681,27.500343441891687,0.0006009064556902949,7.497028416212647e-06,1.0107421875,21350,36000,20850,22150,28150,7300,0.8798828125,0.0012442946626833873,27.505200028419495,,runs/behavioral_replication_v0_9/s4/s1_longcos_late/late_gate_post_seed4,warmup_cosine,4,21650,27650,28400,29750,17100,20950,24450,28200,36000,0.13558349609375,0.998895263671875,0.863311767578125,0.004856586527807849
late_gate_post_seed4,2.408303548944861,,,,0.1357421875,1.0,0.166015625,2.3444044291973114,16000,27.577713146805763,27.542821408063173,0.0004628064124873411,5.000000000000005e-06,0.9228515625,16250,36000,,,,,0.05078125,2.295096978545189,29.872810125350952,,runs/behavioral_replication_v0_9/s4/s1_plateau_late/late_gate_post_seed4,warmup_cosine,4,,,,,17400,,,,30000,0.1422607421875,0.16314697265625,0.02088623046875,2.3299887172877787
late_gate_post_seed4,19.999000000000148,6.5999999999999845,,,0.138671875,1.0,1.0,6.470180721862562e-05,16000,25.97236898444919,25.964835330844533,0.001,0.0010000000000000007,5.6396484375,22550,36000,22050,22500,22600,550,0.8828125,6.470180721862562e-05,25.97243368625641,,runs/behavioral_replication_v0_9/s4/s2_constant_late/late_gate_post_seed4,warmup_constant,4,22500,22550,22600,22650,16800,22250,22550,22600,30000,0.1337158203125,0.999249267578125,0.865533447265625,0.007598355411874991
fresh_singlehop_late_seed5,2.375684722264067,,,,0.1552734375,1.0,0.0,20.30756163597107,16000,3.2714555263519287,-13.587688239636243,0.0004628064124873411,9.150904276806911e-06,0.576171875,18300,29500,,,,,0.004638671875,3.4433590471744537,6.7148145735263824,,runs/behavioral_replication_v0_9/s5/fresh_hop1_s1/fresh_singlehop_late_seed5,warmup_cosine,5,,,,,,,,,30000,0.1414207175925926,0.0,-0.1414207175925926,20.302502813162626
