arm,condition,final_step,fresh_not_zeroshot,fresh_success,hop2_success,intro_fresh_hop1_acc,intro_hop1_acc,intro_hop2_acc,intro_step,is_fresh_control,max_steps,norm_t10_peak_excess,norm_t90_peak_excess,norm_width_t90_minus_t10,peak_hop2_excess,rewarm_lr,run_dir,schedule,seed,t_fresh_hop1_acc_ge_0.95,t_hop2_acc_ge_0.50,t_hop2_acc_ge_0.95,t_hop2_acc_ge_0.99,t_schedule,tail_base_hop1_acc,tail_floor_hop2_acc,tail_fresh_hop1_acc,tail_fresh_hop1_excess,tail_hop1_acc,tail_hop2_acc,tail_hop2_excess,tail_hop2_loss,tail_update_to_weight_ratio
s1_longcos_late,late_gate_post_seed6,35999,,False,False,,1.0,0.0,16000,False,36000,,,,0.078857421875,,runs/behavioral_replication_v0_9/s6/s1_longcos_late/late_gate_post_seed6,warmup_cosine,6,,,,,36000,,0.13975830078125,,,0.999896240234375,0.20186767578125,0.062109375,1.9703938562422991,
s1_plateau_late,late_gate_post_seed6,35999,,False,False,,1.0,0.0,16000,False,36000,,,,0.047607421875,,runs/behavioral_replication_v0_9/s6/s1_plateau_late/late_gate_post_seed6,warmup_cosine,6,,,,,30000,,0.14217529296875,,,0.9996337890625,0.164892578125,0.02271728515625,2.136143852956593,
s2_constant_late,late_gate_post_seed6,35999,,False,True,,1.0,0.0,16000,False,36000,25050,26050,1000,0.887451171875,,runs/behavioral_replication_v0_9/s6/s2_constant_late/late_gate_post_seed6,warmup_constant,6,,25650,26100,26400,30000,,0.135302734375,,,0.999517822265625,0.997967529296875,0.862664794921875,0.014021093920030125,
fresh_hop1_s1,fresh_singlehop_late_seed7,29499,True,True,False,0.0,0.0,0.0,16000,True,29500,,,,0.0,,runs/behavioral_replication_v0_9/s7/fresh_hop1_s1/fresh_singlehop_late_seed7,warmup_cosine,7,16200,,,,30000,0.9332139756944444,0.13901548032407407,1.0,0.8581633391203703,1.0,0.0,-0.13901548032407407,20.580213295088875,
rewarm_late,late_gate_post_seed7,35999,,False,True,,1.0,0.0,16000,False,36000,22950,23350,400,0.881591796875,0.001,runs/behavioral_replication_v0_9/s7/rewarm_late/late_gate_post_seed7,warmup_cosine_then_rewarm_constant,7,,23250,23400,23600,30000,,0.13609619140625,,,0.9997314453125,0.9991455078125,0.86304931640625,0.008674044442156515,
rewarm_reset_late,late_gate_post_seed7,35999,,False,True,,1.0,0.0,16000,False,36000,23100,23450,350,0.88232421875,0.001,runs/behavioral_replication_v0_9/s7/rewarm_reset_late/late_gate_post_seed7,warmup_cosine_then_rewarm_constant_reset_optim,7,,23400,23450,23600,30000,,0.1354248046875,,,0.999755859375,0.99925537109375,0.86383056640625,0.0056274911917540745,
s1_late_original,late_gate_post_seed7,29499,,False,False,,1.0,0.0,16000,False,29500,,,,0.061279296875,,runs/behavioral_replication_v0_9/s7/s1_late_original/late_gate_post_seed7,warmup_cosine,7,,,,,30000,,0.14158347800925927,,,0.9998734085648148,0.18123372395833334,0.03965024594907408,2.0280455924846508,
s1_longcos_late,late_gate_post_seed7,35999,,False,False,,1.0,0.0,16000,False,36000,,,,0.099609375,,runs/behavioral_replication_v0_9/s7/s1_longcos_late/late_gate_post_seed7,warmup_cosine,7,,,,,36000,,0.14105224609375,,,0.9999267578125,0.21448974609375,0.0734375,1.8831934155896306,
s1_plateau_late,late_gate_post_seed7,35999,,False,False,,1.0,0.0,16000,False,36000,,,,0.066162109375,,runs/behavioral_replication_v0_9/s7/s1_plateau_late/late_gate_post_seed7,warmup_cosine,7,,,,,30000,,0.1408935546875,,,0.999871826171875,0.1814208984375,0.04052734375,2.0182247083634137,
s2_constant_late,late_gate_post_seed7,35999,,False,True,,0.99951171875,0.0,16000,False,36000,22500,22900,400,0.8837890625,,runs/behavioral_replication_v0_9/s7/s2_constant_late/late_gate_post_seed7,warmup_constant,7,,22850,22950,23150,30000,,0.134765625,,,0.999847412109375,0.999322509765625,0.864556884765625,0.005529656322298138,
